#     gal_num          x_image          y_image             ra              dec            g1_nopsf         g2_nopsf         g1_meas          g2_meas            fwhm       final_sigmaSize  nopsf_sigmaSize       nfw_g1           nfw_g2           nfw_mu          redshift           flux          stamp_sum         noisevar     
              28   5.79600000e+03   2.73000000e+03   2.89331901e+02  -3.30706823e+01   1.41075195e-01  -4.52454657e-01   9.24353262e-02  -3.14324194e-01   5.01294539e-01   1.54150128e+00   1.04737353e+00  -8.92993373e-02  -3.86905165e-02   1.19152151e+00   8.67476229e-01   7.25309355e+02   7.25309326e+02   0.00000000e+00
              30   5.58000000e+03   3.67200000e+03   2.89346893e+02  -3.30168330e+01   0.00000000e+00   0.00000000e+00  -8.64369366e-02  -8.78635913e-02  -9.99900000e+03  -9.99900000e+03  -9.99900000e+03  -3.59521894e-02  -8.00428565e-02   1.16460656e+00   7.31144760e-01   4.92321674e+02   4.92321716e+02   0.00000000e+00
              31   2.89000000e+02   2.46500000e+03   2.89707896e+02  -3.30867228e+01   0.00000000e+00   0.00000000e+00   7.28873315e-02  -1.06079024e-01  -9.99900000e+03  -9.99900000e+03  -9.99900000e+03  -7.59617698e-02   1.14948870e-02   1.13139660e+00   7.07522600e-01   1.36945781e+03   1.36945776e+03   0.00000000e+00
              32   5.08100000e+03   6.22000000e+02   2.89380143e+02  -3.31914597e+01   0.00000000e+00   0.00000000e+00  -1.98053249e-02  -3.67601814e-02  -9.99900000e+03  -9.99900000e+03  -9.99900000e+03  -7.78511435e-03   8.48198683e-02   1.17137323e+00   5.25347716e-01   4.94607114e+02   4.94607086e+02   0.00000000e+00
              35   5.61300000e+03   2.54000000e+03   2.89344291e+02  -3.30815675e+01   4.96254878e-02  -1.36831091e-01   4.45015343e-02  -9.28973123e-02   6.16319856e-01   1.51848698e+00   1.05805254e+00  -1.07952114e-01  -3.09542356e-02   1.23723946e+00   1.17716274e+00   8.14387676e+02   8.14387695e+02   0.00000000e+00
              36   2.57200000e+03   4.06500000e+03   2.89552238e+02  -3.29949367e+01  -6.82066108e-02   1.19339231e-01  -5.14625507e-02   8.97794827e-02   6.76268326e-01   1.79267097e+00   1.40289116e+00   7.38775748e-02   7.45987309e-02   1.24095366e+00   6.00738088e-01   8.69779641e+03   8.69779688e+03   0.00000000e+00
              37   6.64000000e+02   3.88900000e+03   2.89682420e+02  -3.30052161e+01   3.89259020e-01  -3.17176748e-01   3.23253719e-01  -2.64552239e-01   6.26197699e-01   2.22051287e+00   1.81831872e+00  -3.83110058e-02   7.68095085e-02   1.14569803e+00   1.30104800e+00   3.98425250e+03   3.98425244e+03   0.00000000e+00
              38   5.77000000e+02   2.85800000e+03   2.89688290e+02  -3.30641735e+01   0.00000000e+00   0.00000000e+00  -3.07644982e-01   6.31372259e-02  -9.99900000e+03  -9.99900000e+03  -9.99900000e+03  -8.33534413e-02   3.97315663e-02   1.16825933e+00   1.10881751e+00   4.53513391e+03   4.53513428e+03   0.00000000e+00
              39   5.11100000e+03   1.57000000e+02   2.89377958e+02  -3.32180654e+01   4.45052459e-02  -6.41971022e-02   3.40870540e-02  -4.52055647e-02   7.04938008e-01   1.56857455e+00   1.23545718e+00   1.43665332e-02   9.81884185e-02   1.18618515e+00   1.41009520e+00   1.04713060e+03   1.04713062e+03   0.00000000e+00
              40   2.51600000e+03   3.77400000e+03   2.89556058e+02  -3.30115968e+01   0.00000000e+00   0.00000000e+00   1.90046159e-01   1.03077893e-01  -9.99900000e+03  -9.99900000e+03  -9.99900000e+03   6.94951112e-02   1.03071052e-01   1.31618382e+00   7.13048658e-01   9.82367649e+02   9.82367737e+02   0.00000000e+00
              42   2.14600000e+03   3.22600000e+03   2.89581212e+02  -3.30430075e+01   0.00000000e+00   0.00000000e+00  -2.49831595e-01   8.89623912e-02  -9.99900000e+03  -9.99900000e+03  -9.99900000e+03  -2.36416636e-02   1.31985642e-01   1.37240475e+00   6.79811045e-01   5.82848287e+02   5.82848328e+02   0.00000000e+00
              44   3.30400000e+03   4.82000000e+02   2.89501594e+02  -3.31998217e+01   2.41444207e-02  -1.02960506e-01   2.07426654e-02  -8.85156361e-02   8.97803041e-01   2.56560755e+00   2.25094628e+00   1.23092743e-01  -3.28983356e-03   1.31333753e+00   6.89997488e-01   1.52925842e+03   1.52925830e+03   0.00000000e+00
              46   3.37200000e+03   2.24100000e+03   2.89497300e+02  -3.30991516e+01   3.89043392e-01   4.68900869e-01   3.47207226e-01   4.18373481e-01   6.38990464e-01   2.95139289e+00   2.44336104e+00   3.80899295e-01   3.32548282e-01   7.51539950e+00   8.04469965e-01   5.67095133e+03   5.67095166e+03   0.00000000e+00
              47   5.78600000e+03   3.34900000e+03   2.89332726e+02  -3.30352653e+01  -4.10809141e-01  -8.69782064e-02  -2.43692932e-01  -7.23025874e-02   6.58433533e-01   1.56334972e+00   1.05521703e+00  -6.22416129e-02  -7.28328530e-02   1.18027656e+00   1.07406639e+00   9.10007445e+02   9.10007446e+02   0.00000000e+00
              48   3.13300000e+03   2.99000000e+03   2.89513792e+02  -3.30563689e+01  -1.69652484e-01  -3.65708591e-02  -1.60761508e-01  -3.46543323e-02   1.60741435e+00   3.31020164e+00   3.23609924e+00   2.21424137e-01   1.26188036e-01   2.29212352e+00   1.07765098e+00   1.34611908e+04   1.34611914e+04   0.00000000e+00
              50   1.27400000e+03   1.02100000e+03   2.89640485e+02  -3.31692741e+01   3.50978014e-01  -2.37826192e-01   2.53854907e-01  -1.69576874e-01   5.61609906e-01   1.56184399e+00   1.30253696e+00  -4.69022050e-02  -8.48281932e-02   1.19690540e+00   7.29594367e-01   8.24342102e+02   8.24342163e+02   0.00000000e+00
              52   3.86800000e+03   3.41900000e+03   2.89463711e+02  -3.30316521e+01  -5.47455594e-03   3.13724108e-02  -5.77490363e-04   2.40572373e-02   6.08029340e-01   1.55936420e+00   1.01288331e+00   9.47435776e-02  -1.05198412e-01   1.44285398e+00   5.76104893e-01   1.21531281e+03   1.21531287e+03   0.00000000e+00
              57   8.11000000e+02   5.92000000e+02   2.89672054e+02  -3.31938618e+01  -3.00809790e-01   6.84322931e-02  -2.21434203e-01   5.22208249e-02   6.60090863e-01   1.76283216e+00   1.39404953e+00  -3.67288156e-02  -8.35429445e-02   1.16012448e+00   1.47787636e+00   1.16393094e+04   1.16393086e+04   0.00000000e+00
              58   5.20000000e+02   5.46000000e+02   2.89691985e+02  -3.31965143e+01   0.00000000e+00   0.00000000e+00   3.43850202e-02   1.11268036e-01  -9.99900000e+03  -9.99900000e+03  -9.99900000e+03  -3.35451948e-02  -6.32726798e-02   1.11674002e+00   7.00963589e-01   1.29134957e+03   1.29134949e+03   0.00000000e+00
              60   4.65900000e+03   8.09000000e+02   2.89409007e+02  -3.31808741e+01   0.00000000e+00   0.00000000e+00   3.16594363e-02  -4.81158366e-02  -9.99900000e+03  -9.99900000e+03  -9.99900000e+03   7.91619208e-03   1.30725461e-01   1.31427661e+00   1.23348128e+00   7.24846753e+02   7.24846741e+02   0.00000000e+00
