id,ra,dec,X_IMAGE,Y_IMAGE,g1_gmix,g2_gmix,T_gmix,flux_gmix,g1_MC,g2_MC,g1_Rinv,g2_Rinv,T_mcal,flux_mcal
3.0,289.29000484150185,-32.97318175473708,6539.0000,4558.5630,0.19692391984871932,0.7381983995600985,257.71709679219117,23921.438557193305,-0.0015471424016625962,0.009610082202838916,0.0020715469495493585,-0.008297389510733721,24.284316649240367,8325.680907351183
4.0,289.3006039652803,-32.97317515260433,6425.0000,4559.0000,0.24878265363306734,-0.10113141954259786,65.8296785628714,20041.95429771815,0.010765409040106902,-0.057553023354709416,-0.029309255896788206,0.02150995011328967,167.98189160508832,22868.53800825341
5.0,289.3200431201779,-32.97328786560887,6140.0000,4557.5430,-99999.0,-99999.0,-99999.0,-99999.0,0.010765409040106902,-0.057553023354709416,-0.029309255896788206,0.02150995011328967,167.98189160508832,22868.53800825341
6.0,289.32283971337256,-32.973265677925035,6099.0000,4558.0000,-99999.0,-99999.0,-99999.0,-99999.0,0.010765409040106902,-0.057553023354709416,-0.029309255896788206,0.02150995011328967,167.98189160508832,22868.53800825341
7.0,289.32464660017064,-32.973293195343395,6072.5088,4557.5635,-99999.0,-99999.0,-99999.0,-99999.0,0.010765409040106902,-0.057553023354709416,-0.029309255896788206,0.02150995011328967,167.98189160508832,22868.53800825341
8.0,289.32522696279744,-32.973289869135115,6064.0000,4557.6357,-99999.0,-99999.0,-99999.0,-99999.0,0.010765409040106902,-0.057553023354709416,-0.029309255896788206,0.02150995011328967,167.98189160508832,22868.53800825341
9.0,289.33850291797614,-32.973815339724545,5869.0425,4551.8433,-99999.0,-99999.0,-99999.0,-99999.0,0.010765409040106902,-0.057553023354709416,-0.029309255896788206,0.02150995011328967,167.98189160508832,22868.53800825341
11.0,289.34857342539067,-32.97337398837711,5721.5381,4556.7690,-99999.0,-99999.0,-99999.0,-99999.0,0.010765409040106902,-0.057553023354709416,-0.029309255896788206,0.02150995011328967,167.98189160508832,22868.53800825341
12.0,289.3571083925535,-32.9734232043156,5594.0000,4556.0000,-99999.0,-99999.0,-99999.0,-99999.0,0.010765409040106902,-0.057553023354709416,-0.029309255896788206,0.02150995011328967,167.98189160508832,22868.53800825341
13.0,289.3588185017377,-32.97343027297887,5571.4531,4555.7710,-99999.0,-99999.0,-99999.0,-99999.0,0.010765409040106902,-0.057553023354709416,-0.029309255896788206,0.02150995011328967,167.98189160508832,22868.53800825341
14.0,289.36067854509037,-32.97342783768926,5543.0000,4556.0000,0.8685016444175029,0.03257328232363577,517.6358701851608,28905.20968427729,0.07950231068832381,0.10706508959984332,-0.043894562693763774,0.0003677153446175588,63.645866005771985,6157.359305438372
15.0,289.3686482111651,-32.973436298244074,5426.0000,4556.0000,-0.005969648590750638,0.018463507387287904,0.0717599721584066,89.2701103150277,-0.2185213516406544,-0.3578396382664218,-0.009390502662566557,0.05053216080936813,0.31698600075022104,2148.8224821454187
16.0,289.3740192726473,-32.97349902655394,5348.0000,4555.0000,0.5827608438245503,-0.4844278955848293,123.86886624848414,60478.68328852864,0.021430619110215002,-0.06014395076052573,-0.029341200482234684,0.013956955742795018,20.661690512341075,5570.323435802537
17.0,289.37628414355765,-32.97351643687839,5315.4507,4554.7349,-99999.0,-99999.0,-99999.0,-99999.0,0.021430619110215002,-0.06014395076052573,-0.029341200482234684,0.013956955742795018,20.661690512341075,5570.323435802537
18.0,289.379424130713,-32.97350111784617,5271.0459,4554.6885,-99999.0,-99999.0,-99999.0,-99999.0,0.021430619110215002,-0.06014395076052573,-0.029341200482234684,0.013956955742795018,20.661690512341075,5570.323435802537
19.0,289.37961667122573,-32.97347676826072,5266.4702,4554.7739,-99999.0,-99999.0,-99999.0,-99999.0,0.021430619110215002,-0.06014395076052573,-0.029341200482234684,0.013956955742795018,20.661690512341075,5570.323435802537
20.0,289.3926838186865,-32.97351650101754,5081.0000,4555.0000,-99999.0,-99999.0,-99999.0,-99999.0,0.021430619110215002,-0.06014395076052573,-0.029341200482234684,0.013956955742795018,20.661690512341075,5570.323435802537
21.0,289.4025074344848,-32.97359713072906,4929.6221,4553.5190,-99999.0,-99999.0,-99999.0,-99999.0,0.021430619110215002,-0.06014395076052573,-0.029341200482234684,0.013956955742795018,20.661690512341075,5570.323435802537
22.0,289.40898686703304,-32.97361177922885,4836.0000,4553.5562,-99999.0,-99999.0,-99999.0,-99999.0,0.021430619110215002,-0.06014395076052573,-0.029341200482234684,0.013956955742795018,20.661690512341075,5570.323435802537
