col0,ALPHA_J2000,DELTA_J2000,NUMBER,FLUX_RADIUS,KRON_RADIUS,FLUX_814W,ZPDF,mag_u,mag_b,mag_g,mag_r,mag_nir,mag_lum,crates_u,crates_b,crates_g,crates_r,crates_nir,crates_lum,case,c10_IDENT,c10_mag_auto,c10_zphot,c10_flux_radius,c10_sersic_fit_intensity,c10_sersic_fit_hlr,c10_sersic_fit_n,c10_sersic_fit_q,c10_sersic_fit_boxiness,c10_sersic_fit_x0,c10_sersic_fit_y0,c10_sersic_fit_phi,c10_bulge_fit_disk_intensity,c10_bulge_fit_disk_hlr,c10_bulge_fit_disk_n,c10_bulge_fit_disk_q,c10_bulge_fit_disk_boxiness,c10_bulge_fit_disk_x0,c10_bulge_fit_disk_y0,c10_bulge_fit_disk_phi,c10_bulge_fit_bulge_intensity,c10_bulge_fit_bulge_hlr,c10_bulge_fit_bulge_n,c10_bulge_fit_bulge_q,c10_bulge_fit_bulge_boxiness,c10_bulge_fit_bulge_x0,c10_bulge_fit_bulge_y0,c10_bulge_fit_bulge_phi,c10_fitstatus_0,c10_fitstatus_1,c10_fitstatus_2,c10_fitstatus_3,c10_fitstatus_4,c10_fit_mad_s,c10_fit_mad_b,c10_fit_dvc_btt,c10_use_bulgefit,c10_viable_sersic,c10_hlr_sersic,c10_hlr_bulge,c10_flux_sersic,c10_flux_bulge,c10_flux_disk,c10_flux_3
265574,149.548863060754,2.242032656420923,619748,4.97709,4.058168,25.44,1.0314,27.59045979160461,27.41557448937315,26.916406048244788,26.68369866160285,25.50897689270227,27.19058146453244,0.0041937092709465,0.0155669151231132,0.0148363583583297,0.008493010444714,0.0113974395511088,0.025047607156999,2,189893,23.942445755004883,1.0313999652862549,9.855264663696287,0.0,11.787826627578932,0.5511579726652003,0.9350354446720396,0.0,0.0,0.0,0.1704975834851319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
67965,150.4141115248676,1.7997650279368256,337408,4.3107495,3.5,21.71,0.8545,23.76182999784718,23.43811212496042,22.84835417799436,22.636188238521136,21.5394050449679,23.182301394903654,0.1425772510890717,0.6069983398063339,0.6288514445170524,0.353236706960028,0.4412005412995438,1.0047968643542935,1,173895,21.70985221862793,0.8205000162124634,8.099050521850586,0.0425194836092492,13.699428353955156,4.075237166182667,0.3325564950545914,0.0,114.7084645547087,114.30801817578264,2.0028683596271826,0.0168067013540936,24.50927798588773,1.0,0.1355946829971185,0.0,114.72312152462962,114.3052117127996,1.982222878541029,0.0595054206453784,7.503778384047042,4.0,0.5231566733907465,0.0,114.72312152462962,114.3052117127996,2.0427869773588774,1,1,1,1,1,0.0028099068960438,0.0023995768213407,0.6987573929849622,1,1,0.2370044046412651,0.1628235197519378,60.691031481743366,39.72595150443089,16.351144764727486,56.077096269158375
403350,150.3390213807597,2.5561889491025664,827737,3.4740825,3.5,24.57,1.002,25.136401837898,24.99374893133241,24.86102670572153,24.832215141398173,24.30831859213982,24.94621010301304,0.0401995786595447,0.1448547632640419,0.0985097125414349,0.0467363795153107,0.0344405927759226,0.1979314416347147,1,1371394,24.56996154785156,1.000300049781799,9.701231956481934,0.0048910832495048,12.217713263803224,1.1239395108789665,0.3403378588952081,0.0,120.86377661755265,122.4439741514235,-1.7564545364757969,0.0032301714418926,14.56058901809115,1.0,0.3401918381940589,0.0,120.78736418099554,122.4879817809655,1.4824996877858547,0.0075910444566304,6.605207882676541,4.0,0.0711627269016687,0.0,120.78736418099554,122.4879817809655,1.0030100244643672,1,1,1,1,1,0.0039371048747971,0.0037072387994106,0.1548771927679211,1,1,0.2138288569542574,0.0528608370654446,3.1231311490820697,0.5341375476451353,2.7827188885429077,3.3168564361880426
269457,149.97297319233724,2.249788729067354,625225,2.0282645,3.5,24.8,0.8286,25.73552508603627,25.687616579210847,25.52245438693614,25.44657123543727,24.737108134013205,25.625523191454786,0.0231511304402523,0.0764514490782416,0.0535683141980347,0.0265407156221297,0.023203569588176,0.1058740563428331,1,1129434,24.79939842224121,0.8580999970436096,8.339032173156738,0.0054001700938399,12.035106604580388,1.669205483854828,0.2611860178823148,0.0,114.6490702276065,115.58892907923952,-0.5692455723557567,0.0053489721655207,13.803944774956458,1.0,0.2049422325951044,0.0,114.5001723293213,115.6410656248039,-0.5382255963596392,0.0156504959478208,4.36874489117255,4.0,0.0723787522953166,0.0,114.5001723293213,115.6410656248039,-1.5037746133641838,1,1,1,1,1,0.0019344501226761,0.0020209880904078,0.1578919713503582,0,1,0.1845211524020748,0.0,3.065565177168089,0.0,0.0,0.0
239628,149.97412111711105,2.187334546581636,583272,4.2426257,3.5,23.64,1.6855,24.411107907833816,24.10110092854851,23.82229286611273,23.77807067789524,23.593937131880278,24.00067197079968,0.0784041540297567,0.3296036267915836,0.2564322173046698,0.1233993441994878,0.0665002383388235,0.4728572375635803,1,198831,23.64956283569336,1.6601999998092651,12.96314525604248,0.0079325613316204,14.349074445861092,0.1689962117393282,0.7209766390227189,0.0,141.8340924373809,141.52521417193765,0.2751193794183521,0.003940475788272,17.519789623496226,1.0,0.6420721299681891,0.0,140.38330876753218,141.32740675234388,0.2256081443737006,2.914652251933278,0.0,4.0,0.05,0.0,140.38330876753218,141.32740675234388,0.2276783742654755,1,1,1,1,1,0.0021749562402138,0.0026236085733135,0.0,0,1,0.3655154509400087,0.0,9.052645720966504,0.0,0.0,0.0
159555,149.78042685528334,2.0200805015171457,474660,12.659929,5.0409675,25.79,0.533,25.09681738466714,24.83409344942128,24.397667424925835,24.218609915232012,23.9198647193688,24.64065303569995,0.0416922451228558,0.1678011656807493,0.1509464015020561,0.0822426615772798,0.0492552090707567,0.2622633563103196,2,662442,24.769546508789062,0.5329999923706055,8.132543563842773,0.0,9.010984155861127,2.583139154656746,0.4544047004711503,0.0,0.0,0.0,1.3725908842024537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
500320,149.66629016133408,2.7743844779496336,967911,3.826837,3.5,24.08,0.6689,24.9818447139343,24.92560125673824,24.65599102595177,24.45357742111303,24.140389667116743,24.80527853364962,0.0463494250000327,0.1542381652928627,0.1189853037643439,0.0662384489483665,0.0402014935143101,0.2253654909848835,1,132597,24.079988479614254,0.6610999703407288,4.266757011413574,0.0381082841598713,2.985115069375727,3.99589197163148,0.8813531981937242,0.0,99.02895237901416,99.32077079106568,1.0485281923466514,0.1296912368074382,3.2806060393975214,1.0,0.05,0.0,99.01318830468648,99.31427524184878,1.83549431191417,0.0303484706694258,3.2806060393975214,4.0,0.7893793409237256,0.0,99.01318830468648,99.31427524184878,0.5589117013334606,1,1,1,1,1,0.0027103560898299,0.0029046462576927,0.8700036275786697,0,1,0.0840731508455878,0.0,6.780105159666146,0.0,0.0,0.0
209216,149.95564722477056,2.127485072956021,542353,3.7449696,0.0,27.03,0.9393,27.29841615495767,27.34769388436724,27.31791559311511,27.27427717417273,26.482363092639325,27.329900827617983,0.0054880211240117,0.0165712320736296,0.0102499913009521,0.0049298108140458,0.0046499985506615,0.022031217500374,2,169196,22.398202896118164,0.939300000667572,11.467716217041016,0.0,11.174964846956248,2.359535427396654,0.57511010023369,0.0,0.0,0.0,0.0029011891095516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
53187,150.24653559088858,1.762693745156545,312334,4.2185974,3.5,23.52,0.5443,24.493691819037306,24.39592147741225,23.847685268278745,23.58186170940937,23.27679739642496,24.12963036377929,0.0726616923502906,0.2512255248814775,0.2505045547479315,0.1478415268275426,0.0890592628272892,0.4199007821042061,1,200145,23.519948959350582,0.5723999738693237,6.419320583343506,0.0251097989020269,6.358178564484794,1.4286412537121476,0.720570550701254,0.0,106.45857243716236,106.99815835658384,0.9064855832803276,0.019552423338164,6.739150404327129,1.0,0.8010880529186778,0.0,106.45337726218196,106.9969061948666,1.084765187901672,0.0430451480025926,3.643365109968316,4.0,0.1277138988508269,0.0,106.45337726218196,106.9969061948666,0.6895727325422608,1,1,1,1,1,0.0021840691151118,0.0020576450063379,0.1567114463241244,1,1,0.161916918374459,0.0390609706746717,10.226815976660758,1.653841057994058,8.49675567038051,10.150596728374568
492534,150.65852145229198,2.758443519573829,957583,1.3061006,3.5,25.18,2.9307,26.489725018346427,25.83632181359452,25.51780266272015,25.53136511404292,25.44591442442596,25.733606775464672,0.0115582538632439,0.0666658817730572,0.0537983144413097,0.0245468109133776,0.0120790362554512,0.0958420553964525,1,652933,25.18210220336914,2.8991000652313232,8.299668312072754,0.0136769477101913,4.961563102058302,3.861233218990544,0.1951516187156949,0.0,113.35531344002872,117.20770945463488,-0.9985687743492604,0.0074658764359884,12.485859886382716,1.0,0.0501000021511225,0.0,113.45611807471217,117.17205817980287,-0.9533255105739648,0.0112104912535807,3.280331032293653,4.0,0.3421465058338562,0.0,113.45611807471217,117.17205817980287,-1.0183358207484057,1,1,1,1,1,0.0026728668147897,0.0025374818561759,0.5618312783182658,0,1,0.0657545564952146,0.0,1.4640807842158887,0.0,0.0,0.0
