No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations
34,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J134758.49-325206.6</a>",206.99371,-32.86872,G,11850.00,0.039527,UUN,15.59,5.781,10,0,27,6,6,2,0
35,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J134706.30-324912.1</a>",206.77629,-32.82006,G,12242.00,0.040835,UUN,15.3I,5.955,7,0,27,4,2,2,0
36,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J134723.41-324553.9</a>",206.84762,-32.76500,G,12160.00,0.040561,UUN,14.2I,6.443,8,0,27,4,2,2,0
37,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J134758.13-324848.7</a>",206.99217,-32.81350,G,36647.00,0.122241,UUN,,6.608,3,0,27,4,2,2,0
38,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J134659.51-325228.6</a>",206.74792,-32.87458,G,13641.00,0.045501,UUN,15.4I,6.614,6,0,27,4,2,2,0
39,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J134710.22-325735.3</a>",206.79258,-32.95978,G,12114.00,0.040408,UUN,15.2I,6.968,7,0,27,4,2,2,0
40,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J134737.26-324503.6</a>",206.90521,-32.75103,G,11589.00,0.038657,SUN,16.4b,7.206,20,0,27,9,10,2,0
41,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J134713.73-324553.8</a>",206.80721,-32.76497,G,12276.00,0.040948,UUN,15.4I,7.221,6,0,27,4,2,2,0
42,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J134728.41-325930.5</a>",206.86833,-32.99172,G,11348.00,0.037853,UUN,,7.377,4,0,27,4,2,2,0
43,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J134803.09-324834.1</a>",207.01250,-32.81028,G,12150.00,0.040528,SUN,,7.599,2,0,18,3,1,0,0
44,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J134733.56-330012.0</a>",206.88983,-33.00347,G,11664.00,0.038907,UUN,,8.081,1,0,27,3,1,2,0
45,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J134753.10-325902.1</a>",206.97125,-32.98400,G,11188.00,0.037319,SUN,15.18,8.313,20,0,27,7,8,2,0
46,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J134742.92-324357.2</a>",206.92892,-32.73261,G,12440.00,0.041495,SUN,15.2I,8.567,4,0,35,4,2,4,0
47,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J134653.99-324815.3</a>",206.72496,-32.80425,G,10979.00,0.036622,UUN,19.95,8.686,8,0,28,4,2,2,0
48,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J134742.73-324326.5</a>",206.92792,-32.72428,G,10489.00,0.034988,UUN,15.8R,9.032,6,0,27,4,4,2,0
49,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J134703.18-324512.5</a>",206.76350,-32.75358,G,13265.00,0.044247,UUN,14.8I,9.053,7,0,29,5,2,2,0
50,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J134717.21-324330.8</a>",206.82167,-32.72522,G,10656.00,0.035545,UUN,14.8I,9.104,6,0,27,4,2,2,0
