No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations
324,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J084046.03-172856.0</a>",130.19183,-17.48292,G,18063.00,0.060251,PUN,,14.8,2,0,30,5,1,2,0
312,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">ABELL 3411:[GDW2019] 256</a>",130.54361,-17.64040,G,26654.00,0.088908,SUN,,10.736,1,0,0,1,1,0,0
323,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J084242.43-173554.0</a>",130.67687,-17.59833,G,40651.00,0.135596,PUN,,14.629,1,0,27,4,1,2,0
76,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J084138.50-172809.4</a>",130.41050,-17.46919,G,44680.00,0.149038,PUN,,2.476,1,0,27,4,1,2,0
174,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J084202.40-172454.8</a>",130.51003,-17.41524,IrS,45654.00,0.152284,SUN,,5.403,1,0,12,2,1,0,0
255,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J084206.85-173524.1</a>",130.52857,-17.59003,IrS,45860.00,0.152972,SUN,,7.723,1,0,12,2,1,0,0
226,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">ABELL 3411:[GDW2019] 173</a>",130.50321,-17.58589,G,45904.00,0.15312,SUN,,6.76,1,0,0,1,1,0,0
170,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J084210.29-172924.5</a>",130.54289,-17.49015,IrS,45946.00,0.153258,SUN,,5.3,1,0,12,2,1,0,0
7,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J084146.14-172934.7</a>",130.44219,-17.49311,IrS,46111.00,0.15381,SUN,,0.674,1,0,18,3,1,0,0
171,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J084150.42-173423.4</a>",130.46003,-17.57344,IrS,46150.00,0.153941,SUN,,5.33,1,0,18,3,1,0,0
