No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations
88,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SMACS J0723-73:[PFD2022a] GL.3</a>",110.84366,-73.46159,G_Lens,446691.00,1.49,PUN,,1.332,1,0,0,1,1,0,0
89,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SMACS J0723-73:[PFD2022a] 10.3</a>",110.82067,-73.46006,G_Lens,356753.00,1.19,PUN,,1.335,2,0,0,2,2,0,0
90,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SMACS J0723-73:[PFD2022a] GL.1</a>",110.84091,-73.46161,G_Lens,392728.00,1.31,MLE,,1.338,1,0,0,1,1,0,0
91,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SMACS J0723-73:[GFM2022]5.3c_b</a>",110.82092,-73.46021,G_Lens,411615.00,1.373,PUN,,1.341,3,0,0,3,3,0,0
92,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SMACS J0723-7327:[GFM2022] 4.2</a>",110.80700,-73.45843,G_Lens,656546.00,2.19,MUN,,1.357,4,0,0,5,4,0,0
93,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">[HOO2023] F150DB-040</a>",110.79975,-73.45692,G,1421016.00,4.74,PSE,,1.357,1,0,0,1,1,0,0
94,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SMACS J0723-73:[GFM2022]5.3c_a</a>",110.81575,-73.46029,G_Lens,372642.00,1.243,PUN,,1.381,1,0,0,1,1,0,0
95,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SMACS J0723-73:[PFD2022a] 14.1</a>",110.80177,-73.45829,G_Lens,548620.00,1.83,MLE,,1.401,1,0,0,1,1,0,0
96,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SMACS J0723-73:[PFD2022a] 13.3</a>",110.82340,-73.46162,G_Lens,968330.00,3.23,PML,,1.406,2,0,0,2,2,0,0
97,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">[HOO2023] F150DB-044</a>",110.91379,-73.45619,G,1034284.00,3.45,PSE,,1.479,1,0,0,1,1,0,0
98,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SMACS J0723-73:[PFD2022a] 08.1</a>",110.80262,-73.46015,G_Lens,1777770.00,5.93,MLE,,1.484,1,0,0,1,1,0,0
99,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">[HOO2023] F150DB-069</a>",110.76775,-73.44839,G,3594512.00,11.99,PSE,,1.508,1,0,0,1,1,0,0
100,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SMACS J0723-7327:[CYH2022] ID1</a>",110.81292,-73.46283,G,266815.00,0.89,UUN,,1.54,1,0,0,1,1,0,0
101,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">[HOO2023] F200DB-086</a>",110.77675,-73.45550,G,5135445.00,17.129999,PSE,,1.582,1,0,0,1,1,0,0
102,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">[HOO2023] F150DB-075</a>",110.75929,-73.44486,G,860404.00,2.87,PSE,,1.588,1,0,0,1,1,0,0
103,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">[HOO2023] F150DB-021</a>",110.80267,-73.46256,G,728496.00,2.43,PSE,,1.606,1,0,0,1,1,0,0
104,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SMACS J0723:[CBM2023] 01917</a>",110.87105,-73.46559,G,372942.00,1.244,SLS,,1.607,1,0,0,1,1,0,0
105,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">[HOO2023] F150DB-007</a>",110.84987,-73.46631,G,1436006.00,4.79,PSE,,1.61,1,0,0,1,1,0,0
106,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SMACS J0723:[CBM2023] 08506</a>",110.91640,-73.45864,G,663441.00,2.213,SLS,,1.613,1,0,0,1,1,0,0
107,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SMACS J0723-7327:[CYH2022] ID2</a>",110.76608,-73.45172,G,738389.00,2.463,SLS,,1.615,3,0,0,3,2,0,0
108,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">[HOO2023] F150DB-011</a>",110.86413,-73.46611,G,770467.00,2.57,PSE,,1.616,1,0,0,1,1,0,0
109,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">[HOO2023] F150DB-041</a>",110.77763,-73.45706,G,506649.00,1.69,PSE,,1.629,1,0,0,1,1,0,0
110,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SMACS J0723:[CAR2023] I05</a>",110.78800,-73.46187,G_Lens,1581405.00,5.275,SLS,,1.714,2,0,0,2,2,0,0
111,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">[HOO2023] SMACS_z16a</a>",110.85996,-73.46792,G,3180798.00,10.61,PSE,,1.715,1,0,0,1,1,0,0
112,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">[HOO2023] F150DB-048</a>",110.75654,-73.45500,G,3714429.00,12.39,PSE,,1.853,1,0,0,1,1,0,0
113,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">[HOO2023] F150DB-013</a>",110.77304,-73.46406,G,890384.00,2.97,PSE,,1.979,1,0,0,1,1,0,0
114,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SMACS J0723-7327:[NSB2022]1317</a>",110.78585,-73.46736,G,2077562.00,6.93,PUN,,2.003,1,0,0,1,1,0,0
115,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">[HOO2023] F150DA-082</a>",110.71992,-73.46164,G,773465.00,2.58,PSE,,2.594,1,0,0,1,1,0,0
116,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">[HOO2023] SMACS_z12b</a>",110.71775,-73.46539,G,908371.00,3.03,PSE,,2.746,1,0,0,1,1,0,0
117,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">[HOO2023] F150DA-077</a>",110.71762,-73.46539,G,434699.00,1.45,PSE,,2.748,1,0,0,1,1,0,0
118,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">[HOO2023] 10566</a>",110.76479,-73.47967,G,560612.00,1.87,PSE,,2.819,1,0,0,1,1,0,0
119,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">[HOO2023] F150DA-038</a>",110.76229,-73.47947,G,821431.00,2.74,PSE,,2.831,1,0,0,1,1,0,0
120,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">[HOO2023] F150DA-081</a>",110.70517,-73.46236,G,428703.00,1.43,PSE,,2.834,1,0,0,1,1,0,0
