,wavelengths,transmission
0,300,0.0
1,301,0.0
2,302,0.0
3,303,0.0
4,304,0.0
5,305,0.0
6,306,0.0
7,307,0.0
8,308,0.0
9,309,0.0
10,310,0.0
11,311,0.0
12,312,0.0
13,313,0.0
14,314,0.0
15,315,0.0
16,316,0.0
17,317,0.0
18,318,0.0
19,319,0.0
20,320,0.0
21,321,0.0
22,322,0.0
23,323,0.0
24,324,0.0
25,325,0.0
26,326,0.0
27,327,0.0
28,328,0.0
29,329,0.0
30,330,0.0
31,331,0.0
32,332,0.0
33,333,0.0
34,334,0.0
35,335,0.0
36,336,0.0
37,337,0.0
38,338,0.0
39,339,0.0
40,340,0.0
41,341,0.0
42,342,0.0
43,343,0.0
44,344,0.0
45,345,0.0
46,346,0.0
47,347,0.0
48,348,0.0
49,349,0.0
50,350,0.0
51,351,1.4023844770615102e-05
52,352,6.0120319548637666e-05
53,353,0.00011032876966812228
54,354,0.0001646209701026532
55,355,0.00022296874626624271
56,356,0.00028534397401324107
57,357,0.00035171857963842997
58,358,0.0004219926172617348
59,359,0.0004960998835237169
60,360,0.0005740679256103196
61,361,0.0006664401426279625
62,362,0.000764598192666802
63,363,0.0008684943770069199
64,364,0.000978081087686181
65,365,0.0010933108075001042
66,366,0.0012141361100019988
67,367,0.0013402007304726849
68,368,0.0014712733311354512
69,369,0.0016076512477480218
70,370,0.0017492780152320783
71,371,0.0037709637885815625
72,372,0.07859207621497777
73,373,0.09594101238458581
74,374,0.12376410178227533
75,375,0.14130647877097077
76,376,0.1616888361399104
77,377,0.1844781202566177
78,378,0.21080970367017285
79,379,0.23155823586748858
80,380,0.24203015261147207
81,381,0.25051662107814493
82,382,0.25800371611012607
83,383,0.265579733376668
84,384,0.2725650694724615
85,385,0.27949178795770113
86,386,0.2864759386945006
87,387,0.2935251624318152
88,388,0.300807204959571
89,389,0.3081555196239684
90,390,0.3155701357903863
91,391,0.3214260665969577
92,392,0.3265710361437969
93,393,0.33075444457827274
94,394,0.3349416439833558
95,395,0.3391326249204681
96,396,0.34351892564551006
97,397,0.3484004940991046
98,398,0.3533027974980727
99,399,0.3582258679725346
100,400,0.36316973765260974
101,401,0.3675280003979517
102,402,0.3721958165669194
103,403,0.37698552824400244
104,404,0.38202733009932954
105,405,0.38710632875348827
106,406,0.39110193753620326
107,407,0.39456414412329727
108,408,0.39803227722574885
109,409,0.4015063297764142
110,410,0.40498629467877156
111,411,0.4090652100672427
112,412,0.41315121173162433
113,413,0.4172442912898391
114,414,0.4213444403247736
115,415,0.4254516503842795
116,416,0.428922779527205
117,417,0.43215482748013984
118,418,0.43540268718883746
119,419,0.4386385145379113
120,420,0.44186218298335406
121,421,0.4432791665103634
122,422,0.4445282650020529
123,423,0.44575816308629795
124,424,0.4469687299214594
125,425,0.4481598344073565
126,426,0.45456606339208827
127,427,0.46244259633362345
128,428,0.46952230320312277
129,429,0.4747585648053631
130,430,0.4800330955121912
131,431,0.48481576668543847
132,432,0.48963070751547316
133,433,0.49392188564299294
134,434,0.4964354980287258
135,435,0.4991009909972257
136,436,0.5017711082817864
137,437,0.5044450024592504
138,438,0.5071226463893558
139,439,0.5098040128457179
140,440,0.5124890745158278
141,441,0.5152215459153354
142,442,0.518171370296805
143,443,0.521118266021721
144,444,0.5239052727957025
145,445,0.5267023537219291
146,446,0.5295095306621929
147,447,0.5323268255000703
148,448,0.5351542601409222
149,449,0.5379918565118926
150,450,0.5408396365619109
151,451,0.5429060964692046
152,452,0.5451015380879388
153,453,0.5471940549731565
154,454,0.5492915299819319
155,455,0.5513939675128795
156,456,0.5535013719598387
157,457,0.5556547267182442
158,458,0.5580361506670901
159,459,0.5604240317486867
160,460,0.5628183769572325
161,461,0.5637860300480741
162,462,0.5646248872777837
163,463,0.565462873842185
164,464,0.5634931827465507
165,465,0.5613874968391639
166,466,0.559280870900035
167,467,0.557173315414604
168,468,0.5550648408618896
169,469,0.5540791288930907
170,470,0.5551309039463865
171,471,0.5579964968219345
172,472,0.5608709547832657
173,473,0.5637542878758551
174,474,0.5666465061352606
175,475,0.5695476195871194
176,476,0.5724576382471505
177,477,0.5753765721211533
178,478,0.5783044312050079
179,479,0.5810765156442672
180,480,0.5817906668589126
181,481,0.5809963006179256
182,482,0.5802007345779209
183,483,0.5794039703427302
184,484,0.578606009515594
185,485,0.577806853699161
186,486,0.5770065044954883
187,487,0.5762049635060403
188,488,0.5753908093721409
189,489,0.5745548302196154
190,490,0.5739353475869235
191,491,0.5737221213330093
192,492,0.5735054347132376
193,493,0.5732852835626615
194,494,0.5730616637202713
195,495,0.5728345710289937
196,496,0.5726040013356929
197,497,0.5731070882105007
198,498,0.5745806080300676
199,499,0.576044630808659
200,500,0.5774991438682516
201,501,0.5780026496445294
202,502,0.5778355478399391
203,503,0.5776678439043462
204,504,0.5774995378267598
205,505,0.5773306295964038
206,506,0.5771335565843593
207,507,0.5768998678865965
208,508,0.5766656845456667
209,509,0.5764310065733176
210,510,0.5761905056362085
211,511,0.574995315276997
212,512,0.5737988062854353
213,513,0.5726009788498092
214,514,0.5714018331588415
215,515,0.5701723150729503
216,516,0.5689081974889505
217,517,0.5676430806890922
218,518,0.5663769648787569
219,519,0.5651098502636547
220,520,0.5638417370498232
221,521,0.5626198761981164
222,522,0.5613572272618798
223,523,0.5600948408878786
224,524,0.5588177052022762
225,525,0.5575254091286057
226,526,0.5562335358400367
227,527,0.5549420859468128
228,528,0.5536510600587617
229,529,0.5523604587852954
230,530,0.551070282735409
231,531,0.5494899608569048
232,532,0.548076262571487
233,533,0.5467716470441223
234,534,0.5454949490034801
235,535,0.5442172299723408
236,536,0.5429384902571858
237,537,0.5416587301647694
238,538,0.540377950002119
239,539,0.5390961500765349
240,540,0.53781333069559
241,541,0.5364534596926558
242,542,0.5349475546205013
243,543,0.53336910209079
244,544,0.5317908278618344
245,545,0.5302127323395427
246,546,0.5286348159296596
247,547,0.5270570790377656
248,548,0.5254795220692771
249,549,0.5239021454294471
250,550,0.5223249495233646
251,551,0.5211188842080582
252,552,0.5198561624886598
253,553,0.518583097334062
254,554,0.5173095830648475
255,555,0.5160356200597469
256,556,0.5147612086977394
257,557,0.5134863493580535
258,558,0.5122110424201658
259,559,0.5109352882638012
260,560,0.5096104339028035
261,561,0.5078836194944475
262,562,0.5061568115892432
263,563,0.5044300106745133
264,564,0.5027032172375814
265,565,0.5009764317657697
266,566,0.49924965474640187
267,567,0.4975228866668005
268,568,0.4959946883125026
269,569,0.4945602849169216
270,570,0.4931239755792041
271,571,0.49170482473069166
272,572,0.4902837883096866
