,wavelengths,transmission
0,300,3.843145260018156e-06
1,301,3.927555706131535e-06
2,302,4.016981578636902e-06
3,303,4.1150215744473224e-06
4,304,4.223538346142607e-06
5,305,2.4842732482512008e-06
6,306,2.817015616598198e-06
7,307,8.824169650358004e-06
8,308,5.293970502207885e-06
9,309,8.246446653100868e-06
10,310,5.376026860835742e-06
11,311,3.3448573695422554e-06
12,312,1.0233487793293573e-05
13,313,1.0313170905034842e-05
14,314,3.4913183078290474e-06
15,315,5.569843721484942e-06
16,316,8.926391760489738e-06
17,317,4.7865550921636554e-06
18,318,9.823920183580734e-07
19,319,5.681192177830674e-07
20,320,5.851752227829141e-06
21,321,1.2951144795842319e-05
22,322,1.736456569056228e-05
23,323,1.8003794260783164e-05
24,324,9.6020381344373e-06
25,325,1.325705469279961e-05
26,326,1.773578614040604e-05
27,327,1.3803078319966774e-05
28,328,1.4298659153398716e-05
29,329,1.4888107692650506e-05
30,330,7.45541340082412e-06
31,331,3.476127132931513e-06
32,332,9.039616268311985e-06
33,333,9.736918548279413e-06
34,334,3.308243243113755e-06
35,335,6.950864838851546e-06
36,336,1.659640934498266e-05
37,337,2.27184610035071e-05
38,338,1.3233871123162053e-05
39,339,3.6017513060170217e-06
40,340,1.5580986240421156e-06
41,341,1.6508280590926372e-06
42,342,6.205286085017187e-06
43,343,2.0479086762489833e-05
44,344,3.821584450165094e-05
45,345,2.7101461408538686e-05
46,346,3.461147240415195e-05
47,347,4.8002269199581354e-05
48,348,4.811641321229587e-05
49,349,2.9854407739405017e-05
50,350,2.855117817046769e-05
51,351,3.0523276774252563e-05
52,352,4.123403002762356e-05
53,353,6.758713301225615e-05
54,354,4.269017327477464e-05
55,355,3.918794089358803e-05
56,356,5.915363605556675e-05
57,357,7.832065785155591e-05
58,358,4.639429583639016e-05
59,359,0.0001264274306243344
60,360,0.00026630383867540887
61,361,0.0003921344502987868
62,362,0.00048006624554225414
63,363,0.0006198565977875686
64,364,0.001344090198105249
65,365,0.0023388392215988115
66,366,0.022968180013240157
67,367,0.07936236128006802
68,368,0.18061543478697784
69,369,0.19435001863589965
70,370,0.20251367049224814
71,371,0.20975167050013116
72,372,0.2163649231923405
73,373,0.22350830984725467
74,374,0.2303914951765549
75,375,0.23742310490274954
76,376,0.24460165026834887
77,377,0.25133522165576283
78,378,0.2581302386409447
79,379,0.26530532998206036
80,380,0.2725300080533291
81,381,0.2772139940778768
82,382,0.2806703085904469
83,383,0.2843926964164422
84,384,0.2932274768676887
85,385,0.3006090032442865
86,386,0.3071274409057112
87,387,0.3132778207415533
88,388,0.31921179691865004
89,389,0.32418252741122366
90,390,0.3304463772764994
91,391,0.33549345904584643
92,392,0.3402989965232357
93,393,0.34437791230483833
94,394,0.34851552046796547
95,395,0.3521342239538205
96,396,0.35637214196044037
97,397,0.3615541000574821
98,398,0.36666399372917385
99,399,0.3705340473261776
100,400,0.37583570717314757
101,401,0.37962598566346967
102,402,0.38281221446064423
103,403,0.3863815472417324
104,404,0.38780272045191416
105,405,0.3926307296792737
106,406,0.39664832320291193
107,407,0.40023532454144406
108,408,0.40608296246661685
109,409,0.40866673779752594
110,410,0.4129307695157591
111,411,0.41720356796254865
112,412,0.42092410222556836
113,413,0.4253445698014828
114,414,0.43211164445342903
115,415,0.4365014794593287
116,416,0.44013832269674336
117,417,0.4442170569836314
118,418,0.44917993328934036
119,419,0.4539444961299351
120,420,0.4569016289468861
121,421,0.461579266991682
122,422,0.46679891325234774
123,423,0.46989660618688256
124,424,0.47319183610874155
125,425,0.47664456077262957
126,426,0.47973642772064695
127,427,0.4828574422930872
128,428,0.48617577688302027
129,429,0.48911944329502755
130,430,0.4921341071009746
